# This is an exemplary isentrope for an opx mantle composition, exported
# from HeFESTo, for a surface adiabatic temperature of 1600 K. Temperature
# column contains entropy for this table.
#
# POINTS: 1401
# depth (m), pressure (Pa), entropy (J/kg/K), density (kg/m^3)
depth             pressure          temperature       density
982252 3.78e+10 2534.05 4211.29
984437 37900000000 2534.05 4212.74
986623 38000000000 2534.05 4214.2
988808 38100000000 2534.05 4215.65
990994 38200000000 2534.05 4217.09
993180 3.83e+10 2534.05 4218.54
995365 3.84e+10 2534.05 4219.99
997551 38500000000 2534.05 4221.43
999736 38600000000 2534.05 4222.88
1.00192e+06 38700000000 2534.05 4224.32
1.00411e+06 3.88e+10 2534.05 4225.76
1.00629e+06 3.89e+10 2534.05 4227.2
1.00848e+06 39000000000 2534.05 4228.64
1.01066e+06 39100000000 2534.05 4230.08
1.01285e+06 39200000000 2534.05 4231.52
1.01504e+06 3.93e+10 2534.05 4232.95
1.01722e+06 3.94e+10 2534.05 4234.39
1.01941e+06 39500000000 2534.05 4235.82
1.02159e+06 39600000000 2534.05 4237.25
1.02378e+06 39700000000 2534.05 4238.69
1.02596e+06 3.98e+10 2534.05 4240.12
1.02815e+06 3.99e+10 2534.05 4241.54
1.03033e+06 40000000000 2534.05 4242.97
1.03252e+06 40100000000 2534.05 4244.4
1.03471e+06 40200000000 2534.05 4245.82
1.03689e+06 4.03e+10 2534.05 4247.25
1.03908e+06 4.04e+10 2534.05 4248.67
1.04126e+06 40500000000 2534.05 4250.09
1.04345e+06 40600000000 2534.05 4251.51
1.04563e+06 40700000000 2534.05 4252.93
1.04782e+06 4.08e+10 2534.05 4254.35
1.05001e+06 4.09e+10 2534.05 4255.77
1.05219e+06 41000000000 2534.05 4257.18
1.05438e+06 41100000000 2534.05 4258.6
1.05656e+06 41200000000 2534.05 4260.01
1.05875e+06 4.13e+10 2534.05 4261.42
1.06093e+06 4.14e+10 2534.05 4262.83
1.06312e+06 41500000000 2534.05 4264.24
1.0653e+06 41600000000 2534.05 4265.65
1.06749e+06 41700000000 2534.05 4267.06
1.06968e+06 4.18e+10 2534.05 4268.47
1.07185e+06 4.19e+10 2534.05 4269.87
1.07401e+06 42000000000 2534.05 4271.28
1.07617e+06 42100000000 2534.05 4272.68
1.07833e+06 42200000000 2534.05 4274.08
1.0805e+06 4.23e+10 2534.05 4275.48
1.08266e+06 4.24e+10 2534.05 4276.88
1.08482e+06 42500000000 2534.05 4278.28
1.08698e+06 42600000000 2534.05 4279.68
1.08914e+06 42700000000 2534.05 4281.08
1.0913e+06 4.28e+10 2534.05 4282.47
1.09346e+06 4.29e+10 2534.05 4283.87
1.09562e+06 43000000000 2534.05 4285.26
1.09778e+06 43100000000 2534.05 4286.65
1.09994e+06 43200000000 2534.05 4288.04
1.1021e+06 4.33e+10 2534.05 4289.43
1.10427e+06 4.34e+10 2534.05 4290.82
1.10643e+06 43500000000 2534.05 4292.21
1.10859e+06 43600000000 2534.05 4293.6
1.11075e+06 43700000000 2534.05 4294.98
1.11291e+06 4.38e+10 2534.05 4296.37
1.11507e+06 4.39e+10 2534.05 4297.75
1.11723e+06 44000000000 2534.05 4299.13
1.11939e+06 44100000000 2534.05 4300.51
1.12155e+06 44200000000 2534.05 4301.89
